Name,Address,City,State,Workers,Local,District,Contract
"3025 E Main St, Bldg A Ste 1, Cortlandt Manor, NY",3025 E Main St,Cortlandt Manor,NY,1,2466,6,Orange
"5560 Xavier Drive, Ste 5a60, Yonkers, NY",5560 Xavier Drive,Yonkers,NY,53,5311,2,Fuscia
"1949 Turnbull Avenue, Bronx, NY",1949 Turnbull Avenue,Bronx,NY,5,1253,8,Mauv
"425 Lexington Avenue Suite 150, New York, NY",425 Lexington Avenue Suite 150,New York,NY,85,9841,3,Pink
"2201 31st St., Astoria, NY",2201 31st St.,Astoria,NY,89,3056,1,Fuscia
"2152 Bartow Avenue, Bronx, NY",2152 Bartow Avenue,Bronx,NY,80,2866,1,Teal
"2121-2123 86th Street, Brooklyn, NY",2121-2123 86th Street,Brooklyn,NY,80,4192,5,Red
"1101 Kings Hwy, Brooklyn, NY",1101 Kings Hwy,Brooklyn,NY,10,5074,4,Mauv
"39-15 Main Street, Flushing, NY",39-15 Main Street,Flushing,NY,24,4220,4,Yellow
"10724 Continental Ave, Forest Hills, NY",10724 Continental Ave,Forest Hills,NY,31,6508,6,Crimson
"400 Hamilton Ave, White Plains, NY",400 Hamilton Ave,White Plains,NY,56,8180,4,Red
"37-14 Junction Blvd, Corona, NY",37-14 Junction Blvd,Corona,NY,7,6156,3,Mauv
"160 Montague St, Brooklyn, NY",160 Montague St,Brooklyn,NY,56,9982,7,Orange
"154 Fulton Avenue, Hempstead, NY",154 Fulton Avenue,Hempstead,NY,58,766,5,Teal
"5120 5th Ave, Brooklyn, NY",5120 5th Ave,Brooklyn,NY,47,2626,4,Turquoise
"1592 Route 22 East, Watchung, NJ",1592 Route 22 East,Watchung,NJ,82,3823,1,Crimson
"776 Route 3 West, Clifton, NJ",776 Route 3 West,Clifton,NJ,6,7478,1,Orange
"350 Park Ave, New York, NY",350 Park Ave,New York,NY,96,5706,7,Purple
"2882 C 3rd Ave, Bronx, NY",2882 C 3rd Ave,Bronx,NY,71,8051,5,Orange
"65 E State Rt 4, Paramus, NJ",65 E State Rt 4,Paramus,NJ,10,809,9,Goldenrod
"1610 Flatbush Avenue, Brooklyn, NY",1610 Flatbush Avenue,Brooklyn,NY,12,3532,6,Fuscia
"61-44 188th St, Fresh Meadows, NY",61-44 188th St,Fresh Meadows,NY,76,5017,3,Purple
"217 Broadway, New York, NY",217 Broadway,New York,NY,79,9392,7,Violet
"31 E 17th St, New York, NY",31 E 17th St,New York,NY,33,8111,2,Blue
"2865 Richmond Ave, Staten Island, NY",2865 Richmond Ave,Staten Island,NY,90,5863,3,Yellow
"1400 Willowbrook Mall Sp 1820, Wayne, NJ",1400 Willowbrook Mall Sp 1820,Wayne,NJ,72,3100,6,Indigo
"592 Sixth Ave, New York, NY",592 Sixth Ave,New York,NY,64,5448,8,Pink
"209 West 34th Street, New York, NY",209 West 34th Street,New York,NY,84,4325,5,Pink
"835 Central Park Ave, Scarsdale, NY",835 Central Park Ave,Scarsdale,NY,54,3141,5,Violet
"1014 Southern Blvd, Bronx, NY",1014 Southern Blvd,Bronx,NY,91,202,7,Purple
"1559 Westchester Avenue, Bronx, NY",1559 Westchester Avenue,Bronx,NY,42,9930,3,Violet
"1520 Deer Park Ave, North Babylon, NY",1520 Deer Park Ave,North Babylon,NY,35,7546,3,Teal
"2540 Broadway, New York, NY",2540 Broadway,New York,NY,50,7900,4,Green
"260 Canal Street, New York, NY",260 Canal Street,New York,NY,80,833,1,Aquamarine
"532 Broadway, New York, NY",532 Broadway,New York,NY,93,3005,2,Khaki
"9015 Queens Blvd Ste 25, Elmhurst, NY",9015 Queens Blvd Ste 25,Elmhurst,NY,80,3569,4,Mauv
"7975 Jericho Turnpike, Woodbury, NY",7975 Jericho Turnpike,Woodbury,NY,44,7240,5,Mauv
"1 AT&T Way, Bedminster, NJ",1 AT&T Way,Bedminster,NJ,68,7530,7,Teal
"2268 Route 22 E, Union, NJ",2268 Route 22 E,Union,NJ,66,2561,3,Khaki
"301 Mount Hope Ave Ste 2031a, Rockaway, NJ",301 Mount Hope Ave Ste 2031a,Rockaway,NJ,18,7256,1,Purple
"745 Broadway, New York, NY",745 Broadway,New York,NY,46,61,5,Crimson
"316 Rockaway Turnpike, Cedarhurst, NY",316 Rockaway Turnpike,Cedarhurst,NY,25,6530,9,Turquoise
"144 Delancey St, New York, NY",144 Delancey St,New York,NY,41,4125,8,Yellow
"200 5th Avenue, New York, NY",200 5th Avenue,New York,NY,89,6255,6,Aquamarine
"1000 Sunrise Hwy, Massapequa, NY",1000 Sunrise Hwy,Massapequa,NY,96,697,9,Maroon
"3 Times Sq, New York, NY",3 Times Sq,New York,NY,49,8796,8,Crimson
"1330 Palisades Center Dr., West Nyack, NY",1330 Palisades Center Dr.,West Nyack,NY,66,6406,3,Orange
"381 Madison Ave, New York, NY",381 Madison Ave,New York,NY,5,4886,8,Puce
"15 E Midland Ave, Paramus, NJ",15 E Midland Ave,Paramus,NJ,70,2298,4,Turquoise
"198 Armstrong Rd, Garden City Park, NY",198 Armstrong Rd,Garden City Park,NY,61,8687,6,Orange
"3545 Broadway, New York, NY",3545 Broadway,New York,NY,48,8588,3,Yellow
"494 Gateway Dr Unit 14, Brooklyn, NY",494 Gateway Dr Unit 14,Brooklyn,NY,81,859,3,Purple
"205-14 Northern Blvd, Bayside, NY",205-14 Northern Blvd,Bayside,NY,37,9504,7,Purple
"160 Market St, Newark, NJ",160 Market St,Newark,NJ,18,2760,5,Turquoise
"2093 Smith Haven Plaza, Lake Grove, NY",2093 Smith Haven Plaza,Lake Grove,NY,36,894,4,Khaki
"47 Northern Blvd, Great Neck, NY",47 Northern Blvd,Great Neck,NY,8,8164,6,Teal
"630 Old Country Road, Garden City, NY",630 Old Country Road,Garden City,NY,33,4829,9,Green
"92 Linwood Plaza, Fort Lee, NJ",92 Linwood Plaza,Fort Lee,NJ,2,943,9,Fuscia
"605 State Route 46 E, Little Falls, NJ",605 State Route 46 E,Little Falls,NJ,14,7791,4,Orange
"75 W Passaic St, Rochelle Park, NJ",75 W Passaic St,Rochelle Park,NJ,82,4351,3,Puce
"614 West 181st Street, New York, NY",614 West 181st Street,New York,NY,69,1142,2,Crimson
"350 N. Broadway, Jericho, NY",350 N. Broadway,Jericho,NY,70,8156,7,Maroon
"81 West 125th Street, New York, NY",81 West 125th Street,New York,NY,42,7116,8,Goldenrod
"106 Washington St, Hoboken, NJ",106 Washington St,Hoboken,NJ,34,3501,9,Purple
"618-620 Brighton Beach Ave, Brooklyn, NY",618-620 Brighton Beach Ave,Brooklyn,NY,73,3440,5,Green
"1096 Green Acres Mall, Valley Stream, NY",1096 Green Acres Mall,Valley Stream,NY,7,4682,8,Purple
"2066 Broadway (171 West 71st), New York, NY",2066 Broadway (171 West 71st),New York,NY,32,9215,4,Orange
"33 Thomas St, New York, NY",33 Thomas St,New York,NY,59,239,6,Aquamarine
"773 Lexington Ave, New York, NY",773 Lexington Ave,New York,NY,22,5530,6,Violet
"372 Smith Haven Mall, Lake Grove, NY",372 Smith Haven Mall,Lake Grove,NY,72,4274,2,Crimson
"30 Mall Dr. West, Jersey City, NJ",30 Mall Dr. West,Jersey City,NJ,58,4896,3,Khaki
"200 E 86th St, New York, NY",200 E 86th St,New York,NY,85,1192,3,Green
"3736 82nd Street, Jackson Heights, NY",3736 82nd Street,Jackson Heights,NY,26,85,4,Violet
"21 Graham Avenue, Brooklyn, NY",21 Graham Avenue,Brooklyn,NY,6,5713,4,Goldenrod
"1444 E Jericho Tpke, Huntington, NY",1444 E Jericho Tpke,Huntington,NY,69,2743,3,Violet
"1411 Forest Ave, Staten Island, NY",1411 Forest Ave,Staten Island,NY,98,2476,8,Purple
"855 Montauk Hwy, Shirley, NY",855 Montauk Hwy,Shirley,NY,62,5322,6,Red
"476 Fulton St, Brooklyn, NY",476 Fulton St,Brooklyn,NY,14,8291,8,Orange
"164 - 11 Jamaica Ave, Jamaica, NY",164 - 11 Jamaica Ave,Jamaica,NY,58,4622,6,Blue
"95 William St, Newark, NJ",95 William St,Newark,NJ,94,4990,6,Violet
"16 East Fordham Rd, Bronx, NY",16 East Fordham Rd,Bronx,NY,63,5413,4,Orange
"250 West 57th Street, New York, NY",250 West 57th Street,New York,NY,76,1960,3,Green
"1103 Third Avenue, New York, NY",1103 Third Avenue,New York,NY,12,1771,8,Red
"453 86th Street, Brooklyn, NY",453 86th Street,Brooklyn,NY,45,1281,9,Indigo
"48 Rockland Plaza Route 59, Nanuet, NY",48 Rockland Plaza Route 59,Nanuet,NY,67,9321,9,Blue
"30-67 Steinway St., Astoria, NY",30-67 Steinway St.,Astoria,NY,79,4741,9,Blue
"75 River Road, Edgewater, NJ",75 River Road,Edgewater,NJ,73,175,2,Maroon
"1758 Veterans Memorial Highway, Islandia, NY",1758 Veterans Memorial Highway,Islandia,NY,94,996,3,Khaki
"2655 Richmond Ave, Staten Island, NY",2655 Richmond Ave,Staten Island,NY,34,5199,4,Khaki
"2195 Broadway, New York, NY",2195 Broadway,New York,NY,28,8633,4,Mauv
"381 East Fordham Rd, Bronx, NY",381 East Fordham Rd,Bronx,NY,53,4002,4,Pink
"2411c Hempstead Turnpike, East Meadow, NY",2411c Hempstead Turnpike,East Meadow,NY,67,779,1,Yellow
"1330 Avenue Of The Americas, New York, NY",1330 Avenue Of The Americas,New York,NY,4,3276,4,Goldenrod
"1200 Morris Turnpike, Short Hills, NJ",1200 Morris Turnpike,Short Hills,NJ,62,7449,7,Red
"134 E. Main Street, Mount Kisco, NY",134 E. Main Street,Mount Kisco,NY,31,5750,1,Maroon
"390 Starke Rd, Carlstadt, NJ",390 Starke Rd,Carlstadt,NJ,53,3352,3,Orange
"3505 Amelia Drive, Orchard Park, NY",3505 Amelia Drive,Orchard Park,NY,5,3061,3,Blue
"3057 Route 50, Ste 900, Saratoga Springs, NY",3057 Route 50,Saratoga Springs,NY,25,7265,6,Purple
"9627 Destiny Usa Dr, Sp B106, Syracuse, NY",9627 Destiny Usa Dr,Syracuse,NY,32,6089,9,Khaki
"748 South Meadow St, Ste 200, Ithaca, NY",748 South Meadow St,Ithaca,NY,100,11,6,Crimson
"223 Reynolds Rd, Johnson City, NY",223 Reynolds Rd,Johnson City,NY,36,5961,9,Puce
"307 Troy Road, Rensselaer, NY",307 Troy Road,Rensselaer,NY,36,3137,5,Green
"1 Crossgates Mall Rd, Albany, NY",1 Crossgates Mall Rd,Albany,NY,63,6,2,Fuscia
"1 Crossgates Mall Rd Spc B-128, Albany, NY",1 Crossgates Mall Rd Spc B-128,Albany,NY,47,966,7,Violet
"2 Kross Keys Dr, Albany, NY",2 Kross Keys Dr,Albany,NY,68,7818,6,Puce
"1509 Country Rd 64, Horseheads, NY",1509 Country Rd 64,Horseheads,NY,30,3765,1,Red
"74 Quaker Road, Queensbury, NY",74 Quaker Road,Queensbury,NY,10,8904,4,Red
"3108 Vestal Pkwy E, Vestal, NY",3108 Vestal Pkwy E,Vestal,NY,44,9884,6,Yellow
"604 Factory Ave, Syracuse, NY",604 Factory Ave,Syracuse,NY,55,2748,3,Maroon
"21182 Salmon Run Mall Loop W, Watertown, NY",21182 Salmon Run Mall Loop W,Watertown,NY,80,1700,3,Violet
"404 Balltown Rd, Schenectady, NY",404 Balltown Rd,Schenectady,NY,67,9528,4,Fuscia
"404 Smith St, Syracuse, NY",404 Smith St,Syracuse,NY,66,1597,8,Yellow
"43 Smithfield Blvd, Plattsburgh, NY",43 Smithfield Blvd,Plattsburgh,NY,81,3829,6,Violet
"1137 Ulster Ave, Kingston, NY",1137 Ulster Ave,Kingston,NY,54,1275,2,Yellow
"330 Route 211 East, Middletown, NY",330 Route 211 East,Middletown,NY,47,2478,3,Blue
"1431 Route 300, Newburgh, NY",1431 Route 300,Newburgh,NY,8,5282,8,Orange
"1730 Niagara Falls Blvd Ste400, Tonawanda, NY",1730 Niagara Falls Blvd Ste400,Tonawanda,NY,39,7902,1,Khaki
"1 Walden Galleria Drive, Cheektowaga, NY",1 Walden Galleria Drive,Cheektowaga,NY,35,5410,9,Blue
"1741 Sheridan Drive, Tonawanda, NY",1741 Sheridan Drive,Tonawanda,NY,80,303,4,Indigo
"1690 Walden Ave, Buffalo, NY",1690 Walden Ave,Buffalo,NY,55,4505,1,Yellow
"8200 Transit Rd, Amherst, NY",8200 Transit Rd,Amherst,NY,33,3100,2,Teal
"4900 Transit Rd, Depew, NY",4900 Transit Rd,Depew,NY,14,5489,3,Green
"4777 Commercial Dr., Utica, NY",4777 Commercial Dr.,Utica,NY,68,1148,1,Khaki
"600 Whitney Rd W, Fairport, NY",600 Whitney Rd W,Fairport,NY,26,1003,8,Green
"620 Jefferson Rd Ste 200, Rochester, NY",620 Jefferson Rd Ste 200,Rochester,NY,17,4464,9,Khaki
"2672 West Ridge Rd., Greece, NY",2672 West Ridge Rd.,Greece,NY,41,3974,3,Blue
"7979 Pittsford-victor Rd Sp4, Victor, NY",7979 Pittsford-victor Rd Sp4,Victor,NY,7,6020,2,Turquoise
"401 Greece Ridge Center Dr, Rochester, NY",401 Greece Ridge Center Dr,Rochester,NY,51,3218,2,Green
"345 North Main St, Ste 104, West Hartford, CT",345 North Main St,West Hartford,CT,12,49,3,Puce
"500 Westfarms Mall, Space B126, Farmington, CT",500 Westfarms Mall,Farmington,CT,15,6982,6,Orange
"300 Mishawum Rd, Ste 720, Woburn, MA",300 Mishawum Rd,Woburn,MA,58,8839,3,Blue
"Route 1, South Main Street, Saugus, MA",Route 1,Saugus,MA,24,991,3,Turquoise
"225 Market Street, Lynnfield, MA",225 Market Street,Lynnfield,MA,47,8303,9,Green
"210 Andover Street # E182, Peabody, MA",210 Andover Street # E182,Peabody,MA,38,2317,3,Goldenrod
"453 Park Avenue, Worcester, MA",453 Park Avenue,Worcester,MA,43,2151,5,Orange
"185 Bodwell St, Avon, MA",185 Bodwell St,Avon,MA,59,16,2,Indigo
"1363 Washington St., Hanover, MA",1363 Washington St.,Hanover,MA,25,2568,3,Puce
"32 John F Kennedy Street, Cambridge, MA",32 John F Kennedy Street,Cambridge,MA,24,3725,2,Blue
"75 Middlesex Turnpike St 2058a, Burlington, MA",75 Middlesex Turnpike St 2058a,Burlington,MA,53,3933,8,Indigo
"1919 East Main St., Torrington, CT",1919 East Main St.,Torrington,CT,91,8505,2,Orange
"172 Deming Street, Manchester, CT",172 Deming Street,Manchester,CT,94,5132,6,Goldenrod
"935 West Main St, Branford, CT",935 West Main St,Branford,CT,60,3063,1,Green
"606 Tarkiln Hill Rd, New Bedford, MA",606 Tarkiln Hill Rd,New Bedford,MA,47,2963,2,Puce
"550 Cochituate Rd, Framingham, MA",550 Cochituate Rd,Framingham,MA,71,7850,4,Pink
"1201 Boston Post Rd, Milford, CT",1201 Boston Post Rd,Milford,CT,35,9063,3,Pink
"211-c Highland Ave, Seekonk, MA",211-c Highland Ave,Seekonk,MA,95,3030,6,Mauv
"155 Northboro Rd, Southborough, MA",155 Northboro Rd,Southborough,MA,72,9765,8,Pink
"1214 Iyanough Road, Hyannis, MA",1214 Iyanough Road,Hyannis,MA,12,6483,2,Khaki
"250 Granite St., Braintree, MA",250 Granite St.,Braintree,MA,17,9020,2,Khaki
"287 School St Bldg A Unit 110, Mansfield, MA",287 School St Bldg A Unit 110,Mansfield,MA,89,2742,3,Violet
"826 Boston Rd, Springfield, MA",826 Boston Rd,Springfield,MA,83,4996,1,Green
"70 Worcester Providence Tpke, Millbury, MA",70 Worcester Providence Tpke,Millbury,MA,69,8659,4,Goldenrod
"1 Providence Place, Providence, RI",1 Providence Place,Providence,RI,66,2192,8,Purple
"194 Buckland Hills Dr, Manchester, CT",194 Buckland Hills Dr,Manchester,CT,7,8619,9,Orange
"100 Cambridgeside Place, Cambridge, MA",100 Cambridgeside Place,Cambridge,MA,52,6705,7,Blue
"3243 Berlin Turnpike, Newington, CT",3243 Berlin Turnpike,Newington,CT,7,9584,1,Purple
"430 Broad Street, New London, CT",430 Broad Street,New London,CT,66,5011,7,Turquoise
"42 Greenwich Ave, Greenwich, CT",42 Greenwich Ave,Greenwich,CT,84,8809,6,Red
"2273 Black Rock Turnpike, Fairfield, CT",2273 Black Rock Turnpike,Fairfield,CT,68,1480,6,Mauv
"2147 Summer St., Stamford, CT",2147 Summer St.,Stamford,CT,60,1429,6,Blue
"84 Deerfield Ln, Meriden, CT",84 Deerfield Ln,Meriden,CT,80,1431,5,Red
"50 Royal Little Dr, Providence, RI",50 Royal Little Dr,Providence,RI,11,6915,6,Yellow
"450 State Rd, North Dartmouth, MA",450 State Rd,North Dartmouth,MA,13,1455,1,Maroon
"2421 Cranberry Hwy, Wareham, MA",2421 Cranberry Hwy,Wareham,MA,4,1369,5,Aquamarine
"443 Washington St/8 Winter St, Boston, MA",443 Washington St/8 Winter St,Boston,MA,83,8411,9,Mauv
"622 George Washington Hwy #41a, Lincoln, RI",622 George Washington Hwy #41a,Lincoln,RI,2,2539,9,Khaki
"1018 Riverdale St., West Springfield, MA",1018 Riverdale St.,West Springfield,MA,68,3987,8,Orange
"699 Boylston Street, Boston, MA",699 Boylston Street,Boston,MA,50,1331,4,Blue
"362 Industrial Park Rd, Middletown, CT",362 Industrial Park Rd,Middletown,CT,97,7928,5,Green
"1329 Beacon St, Brookline, MA",1329 Beacon St,Brookline,MA,79,1187,6,Mauv
"123 Farmington Avenue, Bristol, CT",123 Farmington Avenue,Bristol,CT,73,8524,7,Blue
"91 Boston Post Rd, Orange, CT",91 Boston Post Rd,Orange,CT,58,5312,7,Khaki
"496 South Broad St. Suite F, Meriden, CT",496 South Broad St. Suite F,Meriden,CT,57,4310,2,Red
"329 Main St., Malden, MA",329 Main St.,Malden,MA,89,1451,2,Aquamarine
"405 Queen Street Plaza, Southington, CT",405 Queen Street Plaza,Southington,CT,39,1711,9,Teal
"495 Union Street, Waterbury, CT",495 Union Street,Waterbury,CT,40,2665,9,Crimson
"522 Fairfield Ave, Bridgeport, CT",522 Fairfield Ave,Bridgeport,CT,98,715,3,Mauv
"400 Bald Hill Road Site F4a, Warwick, RI",400 Bald Hill Road Site F4a,Warwick,RI,28,5062,3,Goldenrod
"119 Gates St, White River Junction, VT",119 Gates St,White River Junction,VT,64,7181,5,Crimson
"85 Marianno S. Bishop Blvd, Fall River, MA",85 Marianno S. Bishop Blvd,Fall River,MA,46,9769,9,Teal
"769 Iyannough Rd, Hyannis, MA",769 Iyannough Rd,Hyannis,MA,20,2683,3,Maroon
"12 Blanchard Rd, Burlington, MA",12 Blanchard Rd,Burlington,MA,26,5114,1,Indigo
"1245 Worchester St., Natick, MA",1245 Worchester St.,Natick,MA,90,5022,6,Red
"860 Providence Hwy, Dedham, MA",860 Providence Hwy,Dedham,MA,5,1158,5,Green
"5065 Main St Space 9125, Trumbull, CT",5065 Main St Space 9125,Trumbull,CT,87,1524,4,Aquamarine
"7 Backus Ave., Danbury, CT",7 Backus Ave.,Danbury,CT,46,9500,7,Orange
"87 West Stafford Road, Stafford Springs, CT",87 West Stafford Road,Stafford Springs,CT,59,7761,9,Purple
"777 Connecticut Ave, Norwalk, CT",777 Connecticut Ave,Norwalk,CT,69,1166,3,Green
"878 Stillwater Ste C, Bangor, ME",878 Stillwater Ste C,Bangor,ME,83,4485,4,Puce
"470 Lewis Ave, Meriden, CT",470 Lewis Ave,Meriden,CT,54,6064,3,Khaki
"140 Glastonbury Blvd, Glastonbury, CT",140 Glastonbury Blvd,Glastonbury,CT,100,9137,5,Goldenrod
"999 S. Washington Street, North Attleboro, MA",999 S. Washington Street,North Attleboro,MA,6,6299,7,Mauv
"850 Hartford Tpk, Waterford, CT",850 Hartford Tpk,Waterford,CT,78,6453,9,Teal
"185 Bent St, Cambridge, MA",185 Bent St,Cambridge,MA,9,2288,5,Pink
"50 Holyoke St, Holyoke, MA",50 Holyoke St,Holyoke,MA,92,5364,4,Khaki
"62 Davis Straits, Falmouth, MA",62 Davis Straits,Falmouth,MA,37,680,5,Puce
"100 Greyrock Place Space, Stamford, CT",100 Greyrock Place Space,Stamford,CT,69,7798,8,Mauv
"2100 Dixwell Ave, Hamden, CT",2100 Dixwell Ave,Hamden,CT,10,2367,8,Goldenrod
"1319 Boston Post Road, Milford, CT",1319 Boston Post Road,Milford,CT,63,9853,6,Khaki
"300 Universal Drive North, North Haven, CT",300 Universal Drive North,North Haven,CT,59,1126,2,Red
"100 Main St. North, Southbury, CT",100 Main St. North,Southbury,CT,93,9533,9,Violet
"12 Saunders Way, Westbrook, ME",12 Saunders Way,Westbrook,ME,85,2765,7,Indigo
"7 Hazard Ave Ste B, Enfield, CT",7 Hazard Ave Ste B,Enfield,CT,91,7185,5,Crimson
"1100 Market St #1142, R-103, Philadelphia, PA",1100 Market St #1142,Philadelphia,PA,37,5758,5,Mauv
"5256 State Rte 30, Space Nl 13, Greensburg, PA",5256 State Rte 30,Greensburg,PA,81,599,7,Yellow
"1 Route 18, Suite 571, Monaca, PA",1 Route 18,Monaca,PA,51,5698,6,Orange
"2500 Moreland Avenue, #8, Willow Grove, PA",2500 Moreland Avenue,Willow Grove,PA,82,9156,9,Blue
"270 Bilmar Dr, Pittsburgh, PA",270 Bilmar Dr,Pittsburgh,PA,8,2457,8,Turquoise
"1000 Ross Park Mall Dr, Pittsburgh, PA",1000 Ross Park Mall Dr,Pittsburgh,PA,12,1553,1,Teal
"3225 Pleasant Valley Blvd, Altoona, PA",3225 Pleasant Valley Blvd,Altoona,PA,44,2581,6,Yellow
"20125 Rt 19, Cranberry Twp, PA",20125 Rt 19,Cranberry Twp,PA,86,1592,3,Goldenrod
"100 Viewmont Mall, Scranton, PA",100 Viewmont Mall,Scranton,PA,49,9165,4,Puce
"761 - 763 W. Lancaster Ave., Bryn Mawr, PA",761 - 763 W. Lancaster Ave.,Bryn Mawr,PA,81,8301,9,Violet
"2233 Lincoln Hwy East, Lancaster, PA",2233 Lincoln Hwy East,Lancaster,PA,21,4928,1,Teal
"117 South 69th Street, Upper Darby, PA",117 South 69th Street,Upper Darby,PA,49,9826,7,Aquamarine
"1100 Baltimore Pike, Springfield, PA",1100 Baltimore Pike,Springfield,PA,43,9044,1,Maroon
"1 Susquehanna Vly Mall Dr A-9, Selinsgrove, PA",1 Susquehanna Vly Mall Dr A-9,Selinsgrove,PA,45,9550,7,Yellow
"1020 Blakeslee Blvd, Lehighton, PA",1020 Blakeslee Blvd,Lehighton,PA,100,3619,7,Indigo
"214 Lehigh Valley Mall, Whitehall, PA",214 Lehigh Valley Mall,Whitehall,PA,53,4371,6,Aquamarine
"400 Schell Lane, Phoenixville, PA",400 Schell Lane,Phoenixville,PA,29,9832,7,Mauv
"33 S 16th St, Philadelphia, PA",33 S 16th St,Philadelphia,PA,42,3389,8,Pink
"161 E City Avenue, Bala Cynwyd, PA",161 E City Avenue,Bala Cynwyd,PA,91,779,9,Teal
"4375 Lewis Rd, Harrisburg, PA",4375 Lewis Rd,Harrisburg,PA,57,285,4,Goldenrod
"160 N Gulph Rd, King Of Prussia, PA",160 N Gulph Rd,King Of Prussia,PA,65,9277,3,Goldenrod
"301 S Hills Village Mall, Pittsburgh, PA",301 S Hills Village Mall,Pittsburgh,PA,72,8509,1,Turquoise
"4030 William Penn Hwy, Monroeville, PA",4030 William Penn Hwy,Monroeville,PA,30,1430,7,Mauv
"2107b Cottman Ave, Philadelphia, PA",2107b Cottman Ave,Philadelphia,PA,1,6770,6,Puce
"2085 East State Street, Hermitage, PA",2085 East State Street,Hermitage,PA,59,4252,8,Yellow
"1000 Easton Road, Wyncote, PA",1000 Easton Road,Wyncote,PA,96,3055,1,Yellow
"5177 Commerce Dr, York, PA",5177 Commerce Dr,York,PA,12,7241,7,Yellow
"1906 Macarthur Rd, Whitehall, PA",1906 Macarthur Rd,Whitehall,PA,19,7319,9,Fuscia
"4350 Commerce Dr, Whitehall, PA",4350 Commerce Dr,Whitehall,PA,18,1629,6,Pink
"1465 W Broad Street, Quakertown, PA",1465 W Broad Street,Quakertown,PA,97,9049,3,Blue
"300 Town Center Drive Suite 1c, York, PA",300 Town Center Drive Suite 1c,York,PA,26,3001,5,Red
"3578 Route 611 Suite 265, Bartonsville, PA",3578 Route 611 Suite 265,Bartonsville,PA,45,9652,6,Pink
"3588 Capital City Mall Dr., Camp Hill, PA",3588 Capital City Mall Dr.,Camp Hill,PA,89,8224,1,Khaki
"1851 Columbus Blvd, Philadelphia, PA",1851 Columbus Blvd,Philadelphia,PA,70,8393,9,Violet
