store_number,store_name,address,city,state,zip_code,phone_number,website_address,lat,lon
R00000165723,Verizon Wireless At Cambridge - Harvard Square,95 Mount Auburn St,Cambridge,MA,2138,(617) 441-6790,https://www.verizon.com/stores/stores/massachusetts/cambridge/cambridge-harvard-square-326126/,42.37283003,-71.12042209
R00000169712,Verizon Wireless At South Shore Plaza,250 Granite St,Braintree,MA,2184,(781) 843-7900,https://www.verizon.com/stores/stores/massachusetts/braintree/south-shore-plaza-202732/,42.22199716,-71.02376819
R00000000021,Verizon Wireless At Avon Ma,1 Harrison Blvd,Avon,MA,2322,(508) 894-6200,https://www.verizon.com/stores/stores/massachusetts/avon/avon-ma-202588/,42.12595002,-71.06748249
R00000257559,Verizon Wireless At Hanover,1810 Washington St,Hanover,MA,2339,(781) 829-1700,https://www.verizon.com/stores/stores/massachusetts/hanover/hanover-1261522/,42.14886582,-70.84602993
R00000000496,Verizon Wireless At Chestnut Hill,13 Boylston St,Chestnut Hill,MA,2467,(617) 738-2600,https://www.verizon.com/stores/stores/massachusetts/chestnut-hill/chestnut-hill-203140/,42.32335705,-71.16650378
R00000169666,Verizon Wireless At Wareham Crossing,2421 Cranberry Hwy,Wareham,MA,2571,(508) 273-0024,https://www.verizon.com/stores/stores/massachusetts/wareham/wareham-crossing-326172/,41.77575055,-70.74561513
R00000245169,Verizon Wireless At Hyannis,790 Iyannough Rd,Hyannis,MA,2601,(508) 790-6944,https://www.verizon.com/stores/stores/massachusetts/hyannis/hyannis-1024822/,41.66970629,-70.29634221
R00000000147,Verizon Wireless At Dartmouth Mall,200 Dartmouth Mall,Dartmouth,MA,2747,(508) 984-2100,https://www.verizon.com/stores/stores/massachusetts/dartmouth/dartmouth-mall-247281/,41.64120193,-70.99275101
R00000238626,Verizon Wireless At North Attleboro,1212 S Washington St,North Attleboro,MA,2760,(508) 695-0077,https://www.verizon.com/stores/stores/massachusetts/north-attleboro/north-attleboro-1113606/,41.94123796,-71.34778826
R00000238494,Verizon Wireless At Seekonk,191 Highland Ave,Seekonk,MA,2771,(508) 336-9566,https://www.verizon.com/stores/stores/massachusetts/seekonk/seekonk-350713/,41.79946015,-71.33470321
R00000138425,Verizon Wireless At North Kingstown,1310 Ten Rod Rd,North Kingstown,RI,2852,(401) 267-0053,https://www.verizon.com/stores/stores/rhode-island/north-kingstown/north-kingstown-326125/,41.58124337,-71.50039676
R00000006130,Verizon Wireless At Warwick,399 Bald Hill Rd,Warwick,RI,2886,(401) 739-4100,https://www.verizon.com/stores/stores/rhode-island/warwick/warwick-203956/,41.72597709,-71.48098877
R00000000346,Verizon Wireless At Providence Place,117 Providence Pl,Providence,RI,2903,(401) 270-4330,https://www.verizon.com/stores/stores/rhode-island/providence/providence-place-203150/,41.82746805,-71.41760733
R00000093820,Verizon Wireless At Smithfield Ri,371 Putnam Pike,Smithfield,RI,2917,(401) 233-4900,https://www.verizon.com/stores/stores/rhode-island/smithfield/smithfield-ri-280250/,41.87467958,-71.51668863
R00000170273,Verizon Wireless At Londonderry,68b Nashua Road,Londonderry,NH,3053,(603) 421-1784,https://www.verizon.com/stores/stores/new-hampshire/londonderry/londonderry-328856/,42.86174622,-71.35288348
R00000005467,Verizon Wireless At Nashua,258 Daniel Webster Highway,Nashua,NH,3060,(603) 888-2000,https://www.verizon.com/stores/stores/new-hampshire/nashua/nashua-202582/,42.708446,-71.43985436
R00000162013,Verizon Wireless At Nashua - Amherst St. Store,611 Amherst St,Nashua,NH,3063,(603) 882-7989,https://www.verizon.com/stores/stores/new-hampshire/nashua/nashua-amherst-st-store-326131/,42.80184325,-71.53762103
R00000003340,Verizon Wireless At Salem,99 Rockingham Park Blvd,Salem,NH,3079,(603) 894-7300,https://www.verizon.com/stores/stores/new-hampshire/salem/salem-203594/,42.76668489,-71.23081259
R00000256438,Verizon Wireless At Salem - Cluff Crossing,92 Cluff Crossing Rd,Salem,NH,3079,(603) 824-3879,https://www.verizon.com/stores/stores/new-hampshire/salem/salem-cluff-crossing-1338922/,42.766317,-71.221595
R00000197108,Verizon Wireless At Manchester Nh,1111 S Willow St,Manchester,NH,3103,(603) 647-6916,https://www.verizon.com/stores/stores/new-hampshire/manchester/manchester-nh-338227/,42.96026994,-71.44002557
R00000002954,Verizon Wireless At Concord,75-77 Fort Eddy Rd,Concord,NH,3301,(603) 731-6600,https://www.verizon.com/stores/stores/new-hampshire/concord/concord-202602/,43.2139557,-71.53232139
R00000167200,Verizon Wireless At Keene Nh,346 Winchester St,Keene,NH,3435,(603) 352-7000,https://www.verizon.com/stores/stores/new-hampshire/keene/keene-nh-330255/,42.92457975,-72.28728293
R00000169788,Verizon Wireless At Portsmouth,1840 Woodbury Ave,Portsmouth,NH,3801,(603) 334-6488,https://www.verizon.com/stores/stores/new-hampshire/portsmouth/portsmouth-331691/,43.09178762,-70.793158
R00000167172,Verizon Wireless At Rochester Nh,115 Farmington Rd,Rochester,NH,3867,(603) 335-2775,https://www.verizon.com/stores/stores/new-hampshire/rochester/rochester-nh-330256/,43.33622564,-71.01034088
R00000000476,Verizon Wireless At Biddeford Crossing,127 Shops Way,Biddeford,ME,4005,(207) 282-0003,https://www.verizon.com/stores/stores/maine/biddeford/biddeford-crossing-312425/,43.47435969,-70.5103177
R00000177047,Verizon Wireless At Brunswick,2 Gurnet Rd,Brunswick,ME,4011,(207) 725-4567,https://www.verizon.com/stores/stores/maine/brunswick/brunswick-349606/,43.90719791,-69.91658365
R00000164406,Verizon Wireless At Portland - Gorham Rd,365 Gorham Rd,South Portland,ME,4106,(207) 773-1033,https://www.verizon.com/stores/stores/maine/south-portland/portland-gorham-rd-328773/,43.63658261,-70.33110689
R00000127241,Verizon Wireless At Auburn Me,352 Center St,Auburn,ME,4210,(207) 784-3330,https://www.verizon.com/stores/stores/maine/auburn/auburn-me-203138/,44.11496222,-70.22493258
R00000161168,Verizon Wireless At Augusta Me,37 Xavier Loop,Augusta,ME,4330,(207) 623-5080,https://www.verizon.com/stores/stores/maine/augusta/augusta-me-326350/,44.34526065,-69.78948316
R00000166623,Verizon Wireless At Bangor Stillwater Me,930 Stillwater Ave,Bangor,ME,4401,(207) 973-3400,https://www.verizon.com/stores/stores/maine/bangor/bangor-stillwater-me-330254/,44.83966992,-68.74650283
R00000003105,Verizon Wireless At South Burlington Vt,825 Williston Rd,South Burlington,VT,5403,(802) 865-3100,https://www.verizon.com/stores/stores/vermont/south-burlington/south-burlington-vt-203152/,44.47104188,-73.1887209
R00000001795,Verizon Wireless At Rutland Green Mountain Plaza,324b Us Route 7 S,Rutland,VT,5701,(802) 747-4402,https://www.verizon.com/stores/stores/vermont/rutland/rutland-green-mountain-plaza-315761/,43.58484881,-72.969165
R00000234969,Verizon Wireless At Avon Ct,380 West Main Street,Avon,CT,6001,(860) 651-4002,https://www.verizon.com/stores/stores/connecticut/avon/avon-ct-341331/,41.81623971,-72.86242676
R00000000790,Verizon Wireless At Westfarms Mall,16 Westfarms Mall,Farmington,CT,6032,(860) 521-1311,https://www.verizon.com/stores/stores/connecticut/farmington/westfarms-mall-203590/,41.72394896,-72.76257187
R00000153386,Verizon Wireless At Glastonbury,2912 Main St,Glastonbury,CT,6033,(860) 652-9970,https://www.verizon.com/stores/stores/connecticut/glastonbury/glastonbury-331702/,41.7230236,-72.61446989
R00000003200,Verizon Wireless At South Windsor,9 Buckland Rd,South Windsor,CT,6074,(860) 643-1160,https://www.verizon.com/stores/stores/connecticut/south-windsor/south-windsor-202550/,41.8106052,-72.55437488
R00000245356,Verizon Wireless At Enfield,16 Hazard Ave,Enfield,CT,6082,(860) 745-3300,https://www.verizon.com/stores/stores/connecticut/enfield/enfield-1029702/,41.98940292,-72.58235566
R00000246206,Verizon Wireless At Newington,3140 Berlin Tpke,Newington,CT,6111,(860) 666-9019,https://www.verizon.com/stores/stores/connecticut/newington/newington-1109202/,41.66286532,-72.7206637
R00000257705,Verizon Wireless At Waterford,819 Hartford Tpke,Waterford,CT,6385,(860) 447-3208,https://www.verizon.com/stores/stores/connecticut/waterford/waterford-1341322/,41.3732317,-72.1375868
R00000153438,Verizon Wireless At Middletown,955 Washington St,Middletown,CT,6457,(860) 343-7784,https://www.verizon.com/stores/stores/connecticut/middletown/middletown-323980/,41.55303433,-72.68524529
R00000253320,Verizon Wireless At Milford,1621 Boston Post Rd,Milford,CT,6460,(203) 795-6259,https://www.verizon.com/stores/stores/connecticut/milford/milford-1182134/,41.24642056,-73.02555328
R00000116730,Verizon Wireless At North Haven,373 Universal Dr N,North Haven,CT,6473,(203) 239-0000,https://www.verizon.com/stores/stores/connecticut/north-haven/north-haven-203616/,41.35672962,-72.87004616
R00000249357,Verizon Wireless At Wallingford,1086 N Colony Rd,Wallingford,CT,6492,(203) 639-9097,https://www.verizon.com/stores/stores/connecticut/wallingford/wallingford-1068402/,41.49590764,-72.80904017
R00000002439,Verizon Wireless At Trumbull Mall,5065 Main St,Trumbull,CT,6611,(203) 374-6012,https://www.verizon.com/stores/stores/connecticut/trumbull/trumbull-mall-203592/,41.22938271,-73.22618902
R00000002382,Verizon Wireless At Brass Mill Center,495 Union St,Waterbury,CT,6706,(203) 575-1113,https://www.verizon.com/stores/stores/connecticut/waterbury/brass-mill-center-202544/,41.54893109,-73.02449249
R00000203291,Verizon Wireless At Brookfield,21 Federal Rd,Brookfield,CT,6804,(203) 740-3700,https://www.verizon.com/stores/stores/connecticut/brookfield/brookfield-345054/,41.43187334,-73.41388112
R00000197109,Verizon Wireless At Danbury Fair Mall,7 Backus Ave,Danbury,CT,6810,(203) 797-0516,https://www.verizon.com/stores/stores/connecticut/danbury/danbury-fair-mall-337904/,41.38010396,-73.4808761
R00000000386,Verizon Wireless At Fairfield Ct,1201 Kings Hwy,Fairfield,CT,6824,(203) 366-5200,https://www.verizon.com/stores/stores/connecticut/fairfield/fairfield-ct-202564/,41.1635788,-73.23529545
R00000002531,Verizon Wireless At Norwalk Ct,55 Westport Ave,Norwalk,CT,6851,(203) 840-0021,https://www.verizon.com/stores/stores/connecticut/norwalk/norwalk-ct-286396/,41.12211978,-73.40515668
R00000000041,Verizon Wireless At Stamford Town Center,100 Greyrock Pl,Stamford,CT,6901,(203) 325-3282,https://www.verizon.com/stores/stores/connecticut/stamford/stamford-town-center-202560/,41.05307828,-73.53714321
R00000003317,Verizon Wireless At Stamford,972 High Ridge Rd,Stamford,CT,6905,(203) 968-6116,https://www.verizon.com/stores/stores/connecticut/stamford/stamford-202570/,41.10461259,-73.54886094
R00000148894,Verizon Wireless At Clifton,382 State Route 3,Clifton,NJ,7014,(973) 778-9059,https://www.verizon.com/stores/stores/new-jersey/clifton/clifton-319555/,40.83033043,-74.1377865
R00000001618,Verizon Wireless At Edgewater,29 The Promenade,Edgewater,NJ,7020,(201) 313-8324,https://www.verizon.com/stores/stores/new-jersey/edgewater/edgewater-233002/,40.80660438,-73.98905754
R00000170162,Verizon Wireless At Hoboken Store,93 Washington St,Hoboken,NJ,7030,(201) 656-2870,https://www.verizon.com/stores/stores/new-jersey/hoboken/hoboken-store-329845/,40.73713382,-74.03080969
R00000004694,Verizon Wireless At Watchung,1620 Us Highway 22,Watchung,NJ,7069,(908) 490-1688,https://www.verizon.com/stores/stores/new-jersey/watchung/watchung-202248/,40.64323705,-74.41187268
R00000004169,Verizon Wireless At Short Hills Mall,1200 Morris Tpke,Short Hills,NJ,7078,(973) 313-4900,https://www.verizon.com/stores/stores/new-jersey/short-hills/short-hills-mall-201228/,40.74060816,-74.36430727
R00000163265,Verizon Wireless At South Plainfield,7000 Hadley Rd,South Plainfield,NJ,7080,(908) 753-0801,https://www.verizon.com/stores/stores/new-jersey/south-plainfield/south-plainfield-327820/,40.5545096,-74.4324738
R00000001416,Verizon Wireless At Union,2490 Us Highway 22,W Union,NJ,7083,(908) 624-4100,https://www.verizon.com/stores/stores/new-jersey/union/union-202776/,40.68927754,-74.30337505
R00000327676,Verizon Wireless At Vending Machine Union Nj,2490 Us Highway 22 E,Union,NJ,7083,(908) 624-4100,https://www.verizon.com/stores/stores/new-jersey/union/vending-machine-union-nj-r00000327676/,40.689134,-74.299167
R00000165652,Verizon Wireless At Westfield,109 North Ave W,Westfield,NJ,7090,(908) 789-1201,https://www.verizon.com/stores/stores/new-jersey/westfield/westfield-327822/,40.65034085,-74.34595831
R00000001104,Verizon Wireless At Harmon Meadows Secaucus,200 Mill Creek Dr,Secaucus,NJ,7094,(201) 553-6600,https://www.verizon.com/stores/stores/new-jersey/secaucus/harmon-meadows-secaucus-316914/,40.7917197,-74.04945686
R00000126382,Verizon Wireless At Woodbridge,302 Woodbridge Ctr Dr,Woodbridge,NJ,7095,(732) 326-7500,https://www.verizon.com/stores/stores/new-jersey/woodbridge/woodbridge-202832/,40.55595228,-74.30152396
R00000001666,Verizon Wireless At Jersey City - Newport Centre,30 Mall Dr W,Jersey City,NJ,7310,(201) 239-4000,https://www.verizon.com/stores/stores/new-jersey/jersey-city/jersey-city-newport-centre-202828/,40.72697521,-74.03826367
R00000151699,Verizon Wireless At Butler,1538 State Rt 23,Butler,NJ,7405,(973) 838-9950,https://www.verizon.com/stores/stores/new-jersey/butler/butler-324150/,41.00554915,-74.35768895
R00000006629,Verizon Wireless At Totowa,540-548 Us Highway 46,Totowa,NJ,7512,(973) 256-1020,https://www.verizon.com/stores/stores/new-jersey/totowa/totowa-202726/,40.89447811,-74.23773469
R00000002313,Verizon Wireless At Paramus,469 Route 17 South,Paramus,NJ,7652,(201) 225-4000,https://www.verizon.com/stores/stores/new-jersey/paramus/paramus-203570/,40.952936,-74.07334311
R00000001869,Verizon Wireless At Paramus Route 4,341 Rte 4 W,Paramus,NJ,7652,(201) 343-8507,https://www.verizon.com/stores/stores/new-jersey/paramus/paramus-route-4-202326/,40.91321766,-74.04260248
R00000255090,Verizon Wireless At Garden State Plaza,1 Garden State Plz,Paramus,NJ,7652,(201) 291-9795,https://www.verizon.com/stores/stores/new-jersey/paramus/garden-state-plaza-1182142/,40.91937915,-74.07550802
R00000000258,Verizon Wireless At Ocean Plaza,1104 Hwy 35 S,Ocean,NJ,7712,(732) 663-2923,https://www.verizon.com/stores/stores/new-jersey/ocean/ocean-plaza-308136/,40.24009856,-74.0377227
R00000006652,Verizon Wireless At Manalapan Epicentre,55 Us Highway 9,Manalapan,NJ,7726,(732) 409-2722,https://www.verizon.com/stores/stores/new-jersey/manalapan/manalapan-epicentre-202784/,40.29175997,-74.29831903
R00000046668,Verizon Wireless At Hazlet,2996 State Route 35,Hazlet,NJ,7730,(732) 203-9160,https://www.verizon.com/stores/stores/new-jersey/hazlet/hazlet-203808/,40.41774713,-74.17842401
R00000149154,Verizon Wireless At Howell,4821 Us Highway 9,Howell,NJ,7731,(732) 730-8501,https://www.verizon.com/stores/stores/new-jersey/howell/howell-231622/,40.13325456,-74.22202734
R00000001732,Verizon Wireless At West Long Branch,310 Route 36,West Long Branch,NJ,7764,(732) 578-4600,https://www.verizon.com/stores/stores/new-jersey/west-long-branch/west-long-branch-201234/,40.29114473,-74.03439202
R00000001783,Verizon Wireless At Rockaway Store,321 Mount Hope Ave,Rockaway,NJ,7866,(973) 989-4360,https://www.verizon.com/stores/stores/new-jersey/rockaway/rockaway-store-282781/,40.9095209,-74.54885066
R00000246638,Verizon Wireless At Succasunna,241 State Route 10 E,Succasunna,NJ,7876,(973) 252-4800,https://www.verizon.com/stores/stores/new-jersey/succasunna/succasunna-1088006/,40.87009325,-74.64360097
R00000250002,Verizon Wireless At East Hanover,346 State Route 10,East Hanover,NJ,7936,(973) 503-9666,https://www.verizon.com/stores/stores/new-jersey/east-hanover/east-hanover-1079226/,40.804077,-74.364336
R00000144485,Verizon Wireless At Towne Place At Garden State,901 Haddonfield Rd,Cherry Hill,NJ,8002,(856) 910-7952,https://www.verizon.com/stores/stores/new-jersey/cherry-hill/towne-place-at-garden-state-350540/,39.92659665,-75.03367586
R00000254182,Verizon Wireless At Turnersville,5720 Route 42,Turnersville,NJ,8012,(856) 740-6200,https://www.verizon.com/stores/stores/new-jersey/turnersville/turnersville-1203606/,39.7652115,-75.0483829
R00000252980,Verizon Wireless At Burlington,2601 Mount Holly Rd,Burlington,NJ,8016,(609) 239-3770,https://www.verizon.com/stores/stores/new-jersey/burlington/burlington-1216522/,40.03627401,-74.82513694
R00000002662,Verizon Wireless At Manahawkin,601 Washington Ave,Manahawkin,NJ,8050,(609) 597-2215,https://www.verizon.com/stores/stores/new-jersey/manahawkin/manahawkin-280387/,39.70395879,-74.27712008
R00000000404,Verizon Wireless At Mt. Laurel,1211 Route 73,Mount Laurel,NJ,8054,(856) 914-1300,https://www.verizon.com/stores/stores/new-jersey/mount-laurel/mt-laurel-202746/,39.92115293,-74.9464168
R00000000923,Verizon Wireless At Deptford Mall,1750 Deptford Center Rd,Deptford,NJ,8096,(856) 384-4840,https://www.verizon.com/stores/stores/new-jersey/deptford/deptford-mall-201404/,39.83150342,-75.09763783
R00000248314,Verizon Wireless At Egg Harbor,6042 Black Horse Pike,Egg Harbor Township,NJ,8234,(609) 484-6400,https://www.verizon.com/stores/stores/new-jersey/egg-harbor-township/egg-harbor-1169218/,39.43501686,-74.60998507
R00000282892,Verizon Wireless At Atlantic City,6814 Tilton Rd,Egg Harbor Township,NJ,8234,(609) 383-2100,https://www.verizon.com/stores/stores/new-jersey/egg-harbor-township/atlantic-city-r00000282892/,39.392817,-74.55805
R00000251866,Verizon Wireless At Vineland,3849 S Delsea Dr Out Suite G,Vineland,NJ,8360,(856) 293-8701,https://www.verizon.com/stores/stores/new-jersey/vineland/vineland-1181226/,39.43008247,-75.03957384
R00000001852,Verizon Wireless At Princeton,304 Mercer Mall S/c,Lawrenceville,NJ,8648,(609) 452-6767,https://www.verizon.com/stores/stores/new-jersey/lawrenceville/princeton-201422/,40.2976572,-74.6816334
R00000000691,Verizon Wireless At Hamilton Marketplace,149 Marketplace Blvd.,Hamilton,NJ,8691,(609) 581-6040,https://www.verizon.com/stores/stores/new-jersey/hamilton/hamilton-marketplace-229861/,40.19274501,-74.64161469
R00000243925,Verizon Wireless At Brick,481 Route 70,Brick,NJ,8723,(732) 262-2960,https://www.verizon.com/stores/stores/new-jersey/brick/brick-1016858/,40.05578404,-74.15560555
R00000160163,Verizon Wireless At Sea Girt,1334 Laurel Ave,Sea Girt,NJ,8750,(732) 449-4028,https://www.verizon.com/stores/stores/new-jersey/sea-girt/sea-girt-329852/,40.13694747,-74.0623836
R00000000481,Verizon Wireless At Toms River,1278-12 Hooper Ave,Toms River,NJ,8753,(732) 914-2220,https://www.verizon.com/stores/stores/new-jersey/toms-river/toms-river-243321/,39.9854616,-74.17998523
R00000007241,Verizon Wireless At Bridgewater - Rt 202,756 Us Highway 202,Bridgewater,NJ,8807,(908) 203-8484,https://www.verizon.com/stores/stores/new-jersey/bridgewater/bridgewater-rt-202-202886/,40.60746664,-74.624297
R00000002071,Verizon Wireless At Bridgewater Commons,400 Commons Way,Bridgewater,NJ,8807,(908) 203-4000,https://www.verizon.com/stores/stores/new-jersey/bridgewater/bridgewater-commons-247201/,40.58576587,-74.61929619
R00000253899,Verizon Wireless At East Brunswick,323 State Route 18,East Brunswick,NJ,8816,(732) 416-4900,https://www.verizon.com/stores/stores/new-jersey/east-brunswick/east-brunswick-1195246/,40.45603854,-74.40143438
R00000001797,Verizon Wireless At Flemington Mall,325 Us Highway 202,Flemington,NJ,8822,(908) 237-6000,https://www.verizon.com/stores/stores/new-jersey/flemington/flemington-mall-232223/,40.50590591,-74.84901667
R00000000115,Verizon Wireless At North Brunswick,1020 Cozzens Ln,North Brunswick,NJ,8902,(732) 398-8573,https://www.verizon.com/stores/stores/new-jersey/north-brunswick/north-brunswick-309920/,40.45045818,-74.49373864
R00000251290,Verizon Wireless At Herald Square,1293 Broadway,New York,NY,10001,(917) 351-8000,https://www.verizon.com/stores/stores/new-york/new-york/herald-square-1111630/,40.74956188,-73.98836369
R00000258170,Verizon Wireless At Hudson Yards,20 Hudson Yards,New York,NY,10001,(646) 905-8024,https://www.verizon.com/stores/stores/new-york/new-york/hudson-yards-1016703/,40.753157,-74.000434
R00000003160,Verizon Wireless At Union Square,859 Broadway,New York,NY,10003,(212) 206-7587,https://www.verizon.com/stores/stores/new-york/new-york/union-square-230121/,40.73736709,-73.99041088
R00000000059,Verizon Wireless At Wall Street,100 Wall St,New York,NY,10005,(212) 510-6160,https://www.verizon.com/stores/stores/new-york/new-york/wall-street-202316/,40.7053022,-74.00685148
R00000255754,Verizon Wireless At Flatiron,26 W 23rd St,New York,NY,10010,(212) 780-7420,https://www.verizon.com/stores/stores/new-york/new-york/flatiron-1305822/,40.741884,-73.99078
R00000002611,Verizon Wireless At Soho,581 Broadway,New York,NY,10012,(212) 431-4613,https://www.verizon.com/stores/stores/new-york/new-york/soho-288190/,40.72480164,-73.99768822
R00000001874,Verizon Wireless At Madison Avenue,342 Madison Ave,New York,NY,10017,(212) 856-6100,https://www.verizon.com/stores/stores/new-york/new-york/madison-avenue-203122/,40.75369368,-73.97889759
R00000237766,Verizon Wireless At Grand Central,420 Lexington Ave,New York,NY,10017,(212) 401-6975,https://www.verizon.com/stores/stores/new-york/new-york/grand-central-356129/,40.75244555,-73.9755781
R00000002585,Verizon Wireless At 57th Street,57 W 57th St,New York,NY,10019,(212) 980-4860,https://www.verizon.com/stores/stores/new-york/new-york/57th-street-202312/,40.76435456,-73.97677956
R00000238627,Verizon Wireless At 80th & Broadway,2239 Broadway,New York,NY,10024,(212) 712-8040,https://www.verizon.com/stores/stores/new-york/new-york/80th-and-broadway-358861/,40.78454761,-73.97986829
R00000000850,Verizon Wireless At Harlem,166 W 125th St,New York,NY,10027,(212) 531-1542,https://www.verizon.com/stores/stores/new-york/new-york/harlem-313679/,40.80860781,-73.94821813
R00000000775,Verizon Wireless At 86th Street,157 E 86th St,New York,NY,10028,(917) 492-2583,https://www.verizon.com/stores/stores/new-york/new-york/86th-street-203968/,40.77940786,-73.95472208
R00000327553,Verizon Wireless At Washington Heights,4250 Broadway,New York,NY,10033,(212) 781-6034,https://www.verizon.com/stores/stores/new-york/new-york/washington-heights-r00000327553/,40.849878,-73.93576
R00000165735,Verizon Wireless At Bryant Park,125 W 42nd St,New York,NY,10036,(212) 382-3746,https://www.verizon.com/stores/stores/new-york/new-york/bryant-park-338617/,40.75559107,-73.98532877
R00000257277,Verizon Wireless At 770 Lexington Ave,770 Lexington Ave,New York,NY,10065,(212) 759-0201,https://www.verizon.com/stores/stores/new-york/new-york/770-lexington-ave-1320922/,40.763105,-73.967722
R00000001576,Verizon Wireless At Staten Island,2791 Richmond Ave,Staten Island,NY,10314,(718) 982-4980,https://www.verizon.com/stores/stores/new-york/staten-island/staten-island-202304/,40.5783508,-74.16903142
R00000000745,Verizon Wireless At Fordham Road,153 E Fordham Rd,Bronx,NY,10468,(718) 733-2292,https://www.verizon.com/stores/stores/new-york/bronx/fordham-road-202778/,40.86268076,-73.89774978
R00000005169,Verizon Wireless At Bay Plaza,2266 Bartow Ave,Bronx,NY,10475,(718) 671-2621,https://www.verizon.com/stores/stores/new-york/bronx/bay-plaza-308796/,40.86648409,-73.82597722
R00000001931,Verizon Wireless At Hartsdale,355 N Central Ave,Hartsdale,NY,10530,(914) 286-4120,https://www.verizon.com/stores/stores/new-york/hartsdale/hartsdale-289391/,41.02913666,-73.79098311
R00000004811,Verizon Wireless At Mohegan Lake,1773 E Main St,Mohegan Lake,NY,10547,(914) 528-4800,https://www.verizon.com/stores/stores/new-york/mohegan-lake/mohegan-lake-203350/,41.32303214,-73.85243444
R00000002244,Verizon Wireless At Port Chester,447 Boston Post Rd,Port Chester,NY,10573,(914) 939-4028,https://www.verizon.com/stores/stores/new-york/port-chester/port-chester-288890/,40.99350749,-73.67410574
