,Name,Address,City,State,Workers,Local,District,Contract,lon,lat
1656,"4711 Business Park Blvd, Anchorage, AK",4711 Business Park Blvd,Anchorage,AK,9,214,3,Fuscia,-149.8875653,61.1775547
1642,"800 E Dimond Blvd Ste 147, Anchorage, AK",800 E Dimond Blvd Ste 147,Anchorage,AK,22,6915,4,Indigo,-149.8676943,61.1436875
1650,"2220 Abbott Rd Ste A, Anchorage, AK",2220 Abbott Rd Ste A,Anchorage,AK,55,153,5,Pink,-149.8410593,61.1370844
1658,"1118 N. Muldoon Rd. Suite 170, Anchorage, AK",1118 N. Muldoon Rd. Suite 170,Anchorage,AK,23,8357,1,Pink,-149.7429426,61.2271183
1663,"1865 E Parks Hwy, Wasilla, AK",1865 E Parks Hwy,Wasilla,AK,27,589,4,Yellow,-149.4033282,61.5765097
1664,"9400 Glacier Hwy, Juneau, AK",9400 Glacier Hwy,Juneau,AK,84,684,5,Turquoise,-134.5888521,58.3662151
1949,"5749 Humboldt Hill Rd, Eureka, CA",5749 Humboldt Hill Rd,Eureka,CA,63,663,5,Yellow,-124.1987506,40.7407466
1689,"159 S. Hwy 101, Warrenton, OR",159 S. Hwy 101,Warrenton,OR,52,3420,4,Fuscia,-123.90054,46.1612477
1686,"250 NE Garden Valley Blvd, Roseburg, OR",250 NE Garden Valley Blvd,Roseburg,OR,2,5171,3,Purple,-123.3528978,43.2277061
1684,"4385 Commerce St, Eugene, OR",4385 Commerce St,Eugene,OR,4,7201,6,Turquoise,-123.1692295,44.0483992
1697,"4385 Commerce St, Eugene, OR",4385 Commerce St,Eugene,OR,81,7785,5,Yellow,-123.1692295,44.0483992
1698,"1125 - B Valley River Rd, Eugene, OR",1125 - B Valley River Rd,Eugene,OR,79,1335,2,Violet,-123.105238,44.0709911
1702,"1125 - B Valley River Rd, Eugene, OR",1125 - B Valley River Rd,Eugene,OR,78,2497,8,Purple,-123.105238,44.0709911
1695,"200 Hawthorne Ave SE, Salem, OR",200 Hawthorne Ave SE,Salem,OR,76,5052,1,Pink,-122.992961,44.9263262
1641,"625 Blacklake Blvd SW Ste 205, Olympia, WA",625 Blacklake Blvd SW Ste 205,Olympia,WA,76,2660,3,Purple,-122.934232,47.0414568
1683,"1015 Ocean Beach Hwy, Longview, WA",1015 Ocean Beach Hwy,Longview,WA,96,7532,9,Maroon,-122.9298448,46.1457241
1680,"1125 Knutson Ave, Medford, OR",1125 Knutson Ave,Medford,OR,85,5297,3,Red,-122.8732537,42.3582199
1691,"2711 NW Town Center Dr, Beaverton, OR",2711 NW Town Center Dr,Beaverton,OR,77,8042,2,Crimson,-122.8668291,45.5391088
1696,"1730 Delta Waters Rd, Medford, OR",1730 Delta Waters Rd,Medford,OR,77,8254,2,Puce,-122.8611102,42.3601668
1694,"9534 SW Washington Sq Rd H12a, Tigard, OR",9534 SW Washington Sq Rd H12a,Tigard,OR,75,974,2,Fuscia,-122.7813053,45.4503514
1688,"19801 SW 72nd Ave, Tualatin, OR",19801 SW 72nd Ave,Tualatin,OR,30,4108,1,Red,-122.7537222,45.3763396
1681,"7357 SW Bridgeport Dr., Tigard, OR",7357 SW Bridgeport Dr.,Tigard,OR,76,2660,3,Purple,-122.7530547,45.3968699
1773,"2125 Occidental Rd, Santa Rosa, CA",2125 Occidental Rd,Santa Rosa,CA,65,5121,8,Maroon,-122.7469855,38.4302885
1750,"1071 Santa Rosa Plza Ste 2001a, Santa Rosa, CA",1071 Santa Rosa Plza Ste 2001a,Santa Rosa,CA,39,4581,4,Yellow,-122.7168791,38.4394601
1777,"2166 Santa Rosa Ave, Santa Rosa, CA",2166 Santa Rosa Ave,Santa Rosa,CA,4,5409,2,Indigo,-122.7123341,38.4177932
1648,"10315 Silverdale Way NW, Silverdale, WA",10315 Silverdale Way NW,Silverdale,WA,96,5821,5,Green,-122.6906121,47.6576768
1692,"819 SW Oak St, Portland, OR",819 SW Oak St,Portland,OR,86,8060,7,Khaki,-122.6796457,45.5228577
1690,"734 SW Third Ave, Portland, OR",734 SW Third Ave,Portland,OR,79,6139,2,Blue,-122.6756763,45.5176265
1693,"12000 SE 82nd Ave Suite 1152, Happy Valley, OR",12000 SE 82nd Ave Suite 1152,Happy Valley,OR,100,1531,6,Green,-122.5722181,45.4341677
1682,"9728 SE Washington St, Portland, OR",9728 SE Washington St,Portland,OR,22,6915,4,Orange,-122.5638141,45.5164782
1781,"305 Corte Madera Town Center, Corte Madera, CA",305 Corte Madera Town Center,Corte Madera,CA,73,4109,9,Crimson,-122.5171242,37.9274594
1685,"16320 SE Mill Plain Blvd, Vancouver, WA",16320 SE Mill Plain Blvd,Vancouver,WA,50,8070,4,Khaki,-122.5046977,45.6157841
1645,"8071 Guide Meridian Road, Lynden, WA",8071 Guide Meridian Road,Lynden,WA,50,8070,4,Blue,-122.4874232,48.9349758
1652,"4291 Meridian Street Ste E-105, Bellingham, WA",4291 Meridian Street Ste E-105,Bellingham,WA,66,9886,6,Yellow,-122.4865364,48.7974974
1803,"3251 20th Ave, San Francisco, CA",3251 20th Ave,San Francisco,CA,87,1008,4,Turquoise,-122.476829,37.728935
1665,"4502 South Steele St, Tacoma, WA",4502 South Steele St,Tacoma,WA,43,8154,7,Mauv,-122.4687123,47.2181187
1801,"305 Gellert Blvd, Daly City, CA",305 Gellert Blvd,Daly City,CA,71,724,1,Puce,-122.4684401,37.6689336
1800,"3555 Geary Blvd, San Francisco, CA",3555 Geary Blvd,San Francisco,CA,24,9986,6,Mauv,-122.4569821,37.7810407
817,"955 Broadway, Tacoma, WA",955 Broadway,Tacoma,WA,1,6374,4,Khaki,-122.439763,47.2534951
1687,"533 NW Division St, Gresham, OR",533 NW Division St,Gresham,OR,46,938,5,Indigo,-122.4372307,45.5046548
1798,"2135 Union St., San Francisco, CA",2135 Union St.,San Francisco,CA,16,7954,7,Yellow,-122.4344484,37.7970096
1882,"1206 El Camino Real, San Bruno, CA",1206 El Camino Real,San Bruno,CA,32,4295,7,Purple,-122.421756,37.6384173
1797,"1 Powell, San Francisco, CA",1 Powell,San Francisco,CA,2,6226,1,Aquamarine,-122.4082339,37.7846968
1802,"951 Howard St, San Francisco, CA",951 Howard St,San Francisco,CA,52,3210,4,Khaki,-122.4058886,37.7803925
1799,"555 Pine St, San Francisco, CA",555 Pine St,San Francisco,CA,28,4490,8,Turquoise,-122.4049151,37.7913373
1804,"425 Market Street, San Francisco, CA",425 Market Street,San Francisco,CA,60,7384,9,Goldenrod,-122.3947492,37.7899519
1828,"4434 Mountain Lakes Blvd, Redding, CA",4434 Mountain Lakes Blvd,Redding,CA,84,9920,7,Green,-122.3878435,40.6318298
1858,"835 Browning St, Suite 101, Redding, CA",835 Browning St,Redding,CA,32,9882,8,Goldenrod,-122.3579338,40.591536
1661,"1501 4th Ave. Suite 116, Seattle, WA",1501 4th Ave. Suite 116,Seattle,WA,71,9049,6,Orange,-122.3370625,47.6102308
1651,"600 Pine St, Seattle, WA",600 Pine St,Seattle,WA,68,2697,3,Puce,-122.3351777,47.612861
1657,"1820 South Burlington Blvd., Burlington, WA",1820 South Burlington Blvd.,Burlington,WA,68,9142,3,Purple,-122.334998,48.4510276
1784,"4250 Macdonald Ave Suite F, Richmond, CA",4250 Macdonald Ave Suite F,Richmond,CA,75,8104,2,Fuscia,-122.3295733,37.9329728
1640,"401 NE Northgate Way, Seattle, WA",401 NE Northgate Way,Seattle,WA,85,5297,3,Khaki,-122.3251551,47.7085195
1647,"2420 South 320 St, Federal Way, WA",2420 South 320 St,Federal Way,WA,20,908,6,Khaki,-122.3019407,47.3158843
1662,"4626 25th Ave NE, Seattle, WA",4626 25th Ave NE,Seattle,WA,18,2898,6,Aquamarine,-122.3002815,47.6626506
1833,"4010 El Cerrito Plz, El Cerrito, CA",4010 El Cerrito Plz,El Cerrito,CA,86,6873,9,Violet,-122.3000824,37.9012078
1878,"31 West Hillsdale Blvd, San Mateo, CA",31 West Hillsdale Blvd,San Mateo,CA,82,1374,9,Violet,-122.2973751,37.5359262
1836,"5691 Bay St, Emeryville, CA",5691 Bay St,Emeryville,CA,44,5116,8,Fuscia,-122.2927018,37.8366489
1635,"4417 S. Meridian Street, Ste A, Puyallup, WA",4417 S. Meridian Street,Puyallup,WA,45,9252,7,Red,-122.2925127,47.1498913
1636,"3000 184th St. SW Ste 857, Lynnwood, WA",3000 184th St. SW Ste 857,Lynnwood,WA,83,7648,8,Purple,-122.2744768,47.8289591
1841,"2180 Shattuck Avenue, Berkeley, CA",2180 Shattuck Avenue,Berkeley,CA,14,9760,9,Orange,-122.2683752,37.8696576
1637,"16425 Southcenter Parkway, Tukwila, WA",16425 Southcenter Parkway,Tukwila,WA,77,721,8,Orange,-122.2628606,47.4552826
1644,"344 Southcenter Mall Fl 1, Tukwila, WA",344 Southcenter Mall Fl 1,Tukwila,WA,4,7201,6,Fuscia,-122.2589283,47.4581383
1832,"3333 Lakeshore Blvd, Oakland, CA",3333 Lakeshore Blvd,Oakland,CA,92,4553,6,Yellow,-122.2437193,37.8110959
1666,"1620 Industry Dr SW, Auburn, WA",1620 Industry Dr SW,Auburn,WA,20,8635,4,Puce,-122.2414543,47.2941763
1782,"976d Admiral Callaghan Lane, Vallejo, CA",976d Admiral Callaghan Lane,Vallejo,CA,17,2755,3,Khaki,-122.2217353,38.1343604
1659,"1402 SE Everett Mall, Everett, WA",1402 SE Everett Mall,Everett,WA,67,9253,9,Green,-122.21277,47.9113747
1643,"180 Bellevue Square, Bellevue, WA",180 Bellevue Square,Bellevue,WA,96,7532,9,Red,-122.2036588,47.615184
1703,"821 Bellevue Way NE, Bellevue, WA",821 Bellevue Way NE,Bellevue,WA,74,1645,9,Pink,-122.202298,47.6177643
816,"20309 N Creek Pkwy, Bothell, WA",20309 N Creek Pkwy,Bothell,WA,86,6352,4,Yellow,-122.1893978,47.7756331
1646,"20309 N Creek Pkwy, Bothell, WA",20309 N Creek Pkwy,Bothell,WA,2,5171,3,Crimson,-122.1893978,47.7756331
1840,"1580 E 14th Street, San Leandro, CA",1580 E 14th Street,San Leandro,CA,38,148,2,Yellow,-122.1528063,37.7229833
1880,"2805 El Camino Real, Palo Alto, CA",2805 El Camino Real,Palo Alto,CA,51,8392,3,Puce,-122.1415616,37.4231898
1653,"7525 166th Ave NE Ste D120, Redmond, WA",7525 166th Ave NE Ste D120,Redmond,WA,68,9743,3,Violet,-122.1191144,47.6713429
1649,"27112 167th Place SE, Covington, WA",27112 167th Place SE,Covington,WA,65,6435,6,Fuscia,-122.1179139,47.3587289
1807,"30870 Dyer Street, Union City, CA",30870 Dyer Street,Union City,CA,39,9681,6,Khaki,-122.0688115,37.602429
1746,"1521 Olympic Boulevard, Walnut Creek, CA",1521 Olympic Boulevard,Walnut Creek,CA,73,9573,7,Fuscia,-122.0606179,37.8959925
1770,"2015 Diamond Blvd Suite 125, Concord, CA",2015 Diamond Blvd Suite 125,Concord,CA,56,2463,8,Red,-122.056707,37.9713556
1744,"2390 Monument Blvd, Pleasant Hill, CA",2390 Monument Blvd,Pleasant Hill,CA,70,5682,9,Crimson,-122.0560897,37.944889
1761,"1350 Travis Blvd, Fairfield, CA",1350 Travis Blvd,Fairfield,CA,84,5126,5,Purple,-122.054641,38.2603841
1660,"6150 E Lake Sammamish Pkwy, Issaquah, WA",6150 E Lake Sammamish Pkwy,Issaquah,WA,41,5262,2,Yellow,-122.0403372,47.5475939
1751,"2299 Pike Ct, Concord, CA",2299 Pike Ct,Concord,CA,20,2024,3,Orange,-122.034689,38.0112301
1944,"301 W Mckinley, Suite 110, Sunnyvale, CA",301 W Mckinley,Sunnyvale,CA,18,2898,6,Blue,-122.0332313,37.374772
1883,"19479 Stevens Creek Blvd. Ste, Cupertino, CA",19479 Stevens Creek Blvd. Ste,Cupertino,CA,51,5355,5,Pink,-122.0107969,37.3234538
1879,"1546 Saratoga Ave, San Jose, CA",1546 Saratoga Ave,San Jose,CA,97,4005,4,Crimson,-121.9887932,37.293992
1805,"39121 Fremont Blvd, Fremont, CA",39121 Fremont Blvd,Fremont,CA,16,8148,2,Khaki,-121.9868996,37.5475275
1871,"2794 El Camino Real, Santa Clara, CA",2794 El Camino Real,Santa Clara,CA,88,2242,1,Crimson,-121.9770371,37.3520275
1739,"2000 Harbison Drive, Vacaville, CA",2000 Harbison Drive,Vacaville,CA,50,1122,9,Fuscia,-121.9641403,38.3632107
1767,"134 Sunset Drive, San Ramon, CA",134 Sunset Drive,San Ramon,CA,53,2762,2,Yellow,-121.960271,37.7614855
1874,"2855 Stevens Creek Blvd Ste A7, Santa Clara, CA",2855 Stevens Creek Blvd Ste A7,Santa Clara,CA,76,4419,5,Fuscia,-121.9471999,37.3254491
1806,"1452 Stoneridge Mall Rd, Pleasanton, CA",1452 Stoneridge Mall Rd,Pleasanton,CA,98,6754,3,Purple,-121.9312467,37.6938601
1872,"185 Ranch Drive, Milpitas, CA",185 Ranch Drive,Milpitas,CA,80,5747,6,Khaki,-121.9201314,37.4288502
1730,"494 Del Monte Ctr Bldg4 Spc42b, Monterey, CA",494 Del Monte Ctr Bldg4 Spc42b,Monterey,CA,88,286,6,Khaki,-121.897909,36.5835641
1881,"904 B Blossom Hill Rd, San Jose, CA",904 B Blossom Hill Rd,San Jose,CA,44,5072,8,Fuscia,-121.8617315,37.2498775
1877,"1705 Story Rd, San Jose, CA",1705 Story Rd,San Jose,CA,13,2728,5,Yellow,-121.8428729,37.3404626
1873,"2980 E Capitol Expy, San Jose, CA",2980 E Capitol Expy,San Jose,CA,43,3172,7,Green,-121.8106857,37.3310505
1827,"1947 E 20th St, Chico, CA",1947 E 20th St,Chico,CA,23,5638,9,Khaki,-121.8035179,39.7269276
1825,"3750 Morrow Ln, Chico, CA",3750 Morrow Ln,Chico,CA,80,6315,8,Blue,-121.7933982,39.7119008
1870,"1439 Main Street, Suite 1, Watsonville, CA",1439 Main Street,Watsonville,CA,25,8887,5,Blue,-121.7750815,36.9165425
1783,"2465 Sand Creek Rd, Brentwood, CA",2465 Sand Creek Rd,Brentwood,CA,5,9324,5,Green,-121.7374236,37.945069
1808,"5779 Las Positas Rd, Livermore, CA",5779 Las Positas Rd,Livermore,CA,69,8205,9,Goldenrod,-121.7242858,37.701025
1876,"1620 North Main St, Salinas, CA",1620 North Main St,Salinas,CA,29,6916,4,Puce,-121.6533091,36.7137793
1885,"1054 Harter Rd., Yuba City, CA",1054 Harter Rd.,Yuba City,CA,74,9911,4,Yellow,-121.6517384,39.1422648
1826,"421 F St, Marysville, CA",421 F St,Marysville,CA,42,2888,7,Crimson,-121.5916254,39.1396679
1875,"8647 San Ysidro, Gilroy, CA",8647 San Ysidro,Gilroy,CA,46,8606,7,Pink,-121.567725,37.026052
1862,"3591 Truxel Road, Sacramento, CA",3591 Truxel Road,Sacramento,CA,14,7320,7,Orange,-121.5035892,38.6333164
1868,"1407 J St, Sacramento, CA",1407 J St,Sacramento,CA,73,7854,8,Red,-121.4874808,38.5790848
1856,"2805 Naglee Rd, Tracy, CA",2805 Naglee Rd,Tracy,CA,22,4890,7,Violet,-121.4642887,37.7565861
1866,"1743 Arden Way, Sacramento, CA",1743 Arden Way,Sacramento,CA,69,5292,9,Purple,-121.4232383,38.5991158
1869,"2244 Fair Oaks Blvd., Sacramento, CA",2244 Fair Oaks Blvd.,Sacramento,CA,86,2560,5,Fuscia,-121.4130619,38.5739556
1864,"9170 W Stockton Blvd, Elk Grove, CA",9170 W Stockton Blvd,Elk Grove,CA,36,576,5,Turquoise,-121.4020969,38.4230249
1854,"6855 W Eight Mile Rd, Stockton, CA",6855 W Eight Mile Rd,Stockton,CA,50,8373,2,Blue,-121.3983431,38.0582072
1861,"2700 Watt Ave, Sacramento, CA",2700 Watt Ave,Sacramento,CA,56,8251,5,Purple,-121.3814106,38.61514
1859,"10030 Goethe Rd, Sacramento, CA",10030 Goethe Rd,Sacramento,CA,89,5619,5,Yellow,-121.3295903,38.5510596
1857,"5756 Pacific Ave, Stockton, CA",5756 Pacific Ave,Stockton,CA,71,272,8,Yellow,-121.3152772,38.0011349
1855,"2439 W Kettleman Ln, Lodi, CA",2439 W Kettleman Ln,Lodi,CA,16,1837,4,Red,-121.3059731,38.1161787
1699,"63455 N Highway 97 Ste 90, Bend, OR",63455 N Highway 97 Ste 90,Bend,OR,76,7040,2,Crimson,-121.3019606,44.1019096
1863,"5550 Sunrise Blvd Ste 100, Citrus Heights, CA",5550 Sunrise Blvd Ste 100,Citrus Heights,CA,29,401,8,Maroon,-121.2712071,38.6677427
1860,"1136 Galleria Blvd., Roseville, CA",1136 Galleria Blvd.,Roseville,CA,91,4942,7,Red,-121.264559,38.7701037
1865,"2030 Douglas Blvd., Roseville, CA",2030 Douglas Blvd.,Roseville,CA,9,9336,5,Khaki,-121.2517144,38.7428738
1853,"1460 Hulsey Way, Manteca, CA",1460 Hulsey Way,Manteca,CA,32,5585,4,Goldenrod,-121.1924687,37.7963007
1867,"290 Palladio Pkwy Suite 851, Folsom, CA",290 Palladio Pkwy Suite 851,Folsom,CA,9,6842,4,Indigo,-121.1179803,38.6496273
1727,"3900 Sisk Rd, Modesto, CA",3900 Sisk Rd,Modesto,CA,30,4237,4,Orange,-121.066071,37.694768
1725,"1600 Mchenry, Modesto, CA",1600 Mchenry,Modesto,CA,34,7439,3,Red,-120.9935919,37.6674707
1728,"1410 E Hatch Rd., Modesto, CA",1410 E Hatch Rd.,Modesto,CA,100,8374,1,Maroon,-120.9712749,37.6088694
1732,"2858 West Monte Vista Ave, Turlock, CA",2858 West Monte Vista Ave,Turlock,CA,80,4644,7,Indigo,-120.8800154,37.5215242
1886,"3970-4 Missouri Flat Rd, Placerville, CA",3970-4 Missouri Flat Rd,Placerville,CA,35,9870,8,Orange,-120.841897,38.7105308
1884,"11998 Los Osos Valley Blvd, San Luis Obispo, CA",11998 Los Osos Valley Blvd,San Luis Obispo,CA,15,5054,8,Green,-120.6858161,35.2511573
1948,"196 Suburban Rd, San Luis Obispo, CA",196 Suburban Rd,San Luis Obispo,CA,20,8635,4,Goldenrod,-120.6681497,35.2453324
1729,"1291 Commerce Ave, Atwater, CA",1291 Commerce Ave,Atwater,CA,85,858,5,Turquoise,-120.6135623,37.3430867
1731,"1860 Wardrobe Ave, Merced, CA",1860 Wardrobe Ave,Merced,CA,90,4812,6,Purple,-120.5105472,37.2949206
1726,"1340 W. Olive Ave, Merced, CA",1340 W. Olive Ave,Merced,CA,71,5853,1,Purple,-120.4932462,37.3188569
1673,"2401 S. 1st Street, Yakima, WA",2401 S. 1st Street,Yakima,WA,19,5762,1,Goldenrod,-120.4834989,46.5675443
1896,"2356 S Bradley Rd, Santa Maria, CA",2356 S Bradley Rd,Santa Maria,CA,45,3900,4,Purple,-120.4200088,34.9171351
1654,"1304 N Miller St Ste B, Wenatchee, WA",1304 N Miller St Ste B,Wenatchee,WA,33,3070,4,Crimson,-120.3261024,47.4404444
1787,"2295 Marketplace Drive, Madera, CA",2295 Marketplace Drive,Madera,CA,32,6289,1,Yellow,-120.0862466,36.981364
1789,"6733 N. Riverside Dr Suite 101, Fresno, CA",6733 N. Riverside Dr Suite 101,Fresno,CA,65,7086,7,Crimson,-119.9121027,36.8362121
1893,"7060 Marketplace, Goleta, CA",7060 Marketplace,Goleta,CA,32,3029,8,Turquoise,-119.8276389,34.4358294
1796,"1445 Van Ness Ave, Fresno, CA",1445 Van Ness Ave,Fresno,CA,53,4442,1,Orange,-119.7943973,36.7389486
1788,"6685 N Blackstone Ave, Fresno, CA",6685 N Blackstone Ave,Fresno,CA,48,3996,3,Violet,-119.7906887,36.8350218
1791,"5180 N. Blackstone Ave., Fresno, CA",5180 N. Blackstone Ave.,Fresno,CA,73,1332,9,Fuscia,-119.7899199,36.8119406
1809,"1274 East Plumb Lane, Suite A, Reno, NV",1274 East Plumb Lane,Reno,NV,57,3256,3,Blue,-119.7833759,39.505437
1945,"1274 East Plumb Lane, Suite A, Reno, NV",1274 East Plumb Lane,Reno,NV,27,589,4,Red,-119.7833759,39.505437
1795,"3263 E Tulare Ave, Fresno, CA",3263 E Tulare Ave,Fresno,CA,61,9142,1,Yellow,-119.7695208,36.7433913
1820,"75 Damonte Ranch Pkwy, Reno, NV",75 Damonte Ranch Pkwy,Reno,NV,72,9372,6,Khaki,-119.7573976,39.4209742
1947,"1375 Capital Blvd, Reno, NV",1375 Capital Blvd,Reno,NV,43,8154,7,Yellow,-119.7542761,39.5049005
1894,"101 S. La Cumbre Road, Santa Barbara, CA",101 S. La Cumbre Road,Santa Barbara,CA,94,5812,3,Goldenrod,-119.7506343,34.4390764
1812,"279 Los Altos Pkwy, Sparks, NV",279 Los Altos Pkwy,Sparks,NV,100,9797,6,Yellow,-119.7381525,39.5832203
1819,"1565 E Lincoln Way, Sparks, NV",1565 E Lincoln Way,Sparks,NV,93,9988,8,Turquoise,-119.7177635,39.533125
1790,"5555 E Olive Ave, Fresno, CA",5555 E Olive Ave,Fresno,CA,52,5855,3,Puce,-119.7029657,36.7581213
1793,"1180 Shaw Ave Ste 101, Clovis, CA",1180 Shaw Ave Ste 101,Clovis,CA,55,4383,9,Pink,-119.6940926,36.8070485
1785,"1731 West Lacey Blvd, Ste 101, Hanford, CA",1731 West Lacey Blvd,Hanford,CA,31,6250,7,Pink,-119.6736704,36.3277072
1794,"2075 E Prosperity Ave., Tulare, CA",2075 E Prosperity Ave.,Tulare,CA,41,3279,8,Green,-119.3139515,36.2256754
1792,"2250 S Mooney Blvd, Visalia, CA",2250 S Mooney Blvd,Visalia,CA,73,1423,9,Purple,-119.3133845,36.309857
1672,"601 S Pioneer, Moses Lake, WA",601 S Pioneer,Moses Lake,WA,64,4063,5,Khaki,-119.2683356,47.1299467
1891,"3301 E. Main Street Ste.1505, Ventura, CA",3301 E. Main Street Ste.1505,Ventura,CA,40,1487,3,Puce,-119.2489447,34.2674033
1671,"1103 Columbia Center Blvd, Kennewick, WA",1103 Columbia Center Blvd,Kennewick,WA,79,9590,9,Purple,-119.2243563,46.2216019
1890,"1788-b S. Victoria Ave, Ventura, CA",1788-b S. Victoria Ave,Ventura,CA,2,2951,8,Mauv,-119.2105104,34.2581389
1888,"1956 N Rose Avenue, Oxnard, CA",1956 N Rose Avenue,Oxnard,CA,53,9224,4,Yellow,-119.1570511,34.2195266
1897,"300 Kinetic Dr, Oxnard, CA",300 Kinetic Dr,Oxnard,CA,57,1928,8,Khaki,-119.1326128,34.2034085
1852,"3401 Coffee Road, Bakersfield, CA",3401 Coffee Road,Bakersfield,CA,92,226,4,Khaki,-119.0926719,35.3909088
1849,"4300 Ming Ave, Bakersfield, CA",4300 Ming Ave,Bakersfield,CA,34,1154,4,Goldenrod,-119.0508588,35.3399407
1851,"4180 Truxtun Ave, Bakersfield, CA",4180 Truxtun Ave,Bakersfield,CA,42,70,4,Purple,-119.0472361,35.3732504
1892,"1955 Daily Dr, Camarillo, CA",1955 Daily Dr,Camarillo,CA,95,3390,3,Khaki,-119.0436662,34.2180728
1786,"862 W Henderson Blvd, Porterville, CA",862 W Henderson Blvd,Porterville,CA,68,1573,9,Puce,-119.0363778,36.0814322
1850,"3501 Mall View Rd, Bakersfield, CA",3501 Mall View Rd,Bakersfield,CA,88,5182,4,Khaki,-118.9529555,35.3942668
1895,"180 N. Moorpark Rd, Thousand Oaks, CA",180 N. Moorpark Rd,Thousand Oaks,CA,83,3682,9,Khaki,-118.8753982,34.1818304
1889,"1263 Simi Valley Town Cntr Way, Simi Valley, CA",1263 Simi Valley Town Cntr Way,Simi Valley,CA,5,9312,7,Turquoise,-118.7699432,34.2842175
1887,"1844 Sycamore Dr, Simi Valley, CA",1844 Sycamore Dr,Simi Valley,CA,42,912,3,Aquamarine,-118.7430312,34.2700227
1722,"6203 Topanga Canyon Blvd., Woodland Hills, CA",6203 Topanga Canyon Blvd.,Woodland Hills,CA,17,7973,2,Yellow,-118.6063997,34.1831773
1713,"24236 Valencia Blvd, Valencia, CA",24236 Valencia Blvd,Valencia,CA,10,4944,1,Turquoise,-118.5578906,34.4122541
1714,"9050 Tampa Ave, Northridge, CA",9050 Tampa Ave,Northridge,CA,35,3458,6,Goldenrod,-118.5522802,34.2341742
1719,"26453 Bouquet Canyon Suite A, Santa Clarita, CA",26453 Bouquet Canyon Suite A,Santa Clarita,CA,54,7118,9,Blue,-118.5397208,34.4277347
1711,"808 Wilshire Blvd, Santa Monica, CA",808 Wilshire Blvd,Santa Monica,CA,98,378,3,Puce,-118.4937373,34.0219983
1717,"14557 Ventura Blvd, Sherman Oaks, CA",14557 Ventura Blvd,Sherman Oaks,CA,26,94,7,Khaki,-118.4506954,34.1515146
1721,"14500 Roscoe Blvd, Panorama City, CA",14500 Roscoe Blvd,Panorama City,CA,79,5567,6,Violet,-118.4490299,34.2212146
1715,"2333 S. Sepulveda Blvd, Los Angeles, CA",2333 S. Sepulveda Blvd,Los Angeles,CA,49,3396,7,Khaki,-118.4357659,34.0371966
